    Step    Atoms         KinEng            CPU         Volume 
  150001     1005  2.3338009e-06              0          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  179501     1005  1.0121328e-06   5.514618e-06      840.47342          0.011 
  180000     1005  1.0912603e-06   5.965424e-06      833.15391          0.011 
  180001     1005  1.0914173e-06  5.9663109e-06      833.13924          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  180001     1005  1.0914173e-06  5.9663109e-06      840.47342          0.011 
  180501     1005  1.1699916e-06  6.4006265e-06      833.15075          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  180501     1005  1.1699916e-06  6.4006265e-06      840.47342          0.011 
  181000     1005  1.2467142e-06  6.8122713e-06      833.17649          0.011 
  181001     1005   1.246863e-06  6.8130692e-06      833.16187          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  181001     1005   1.246863e-06  6.8130692e-06      840.47342          0.011 
  181501     1005  1.3171522e-06  7.1957821e-06      833.17259          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  181501     1005  1.3171522e-06  7.1957821e-06      840.47342          0.011 
  182000     1005  1.3785714e-06  7.5422936e-06      833.19752          0.011 
  182001     1005  1.3786868e-06  7.5429508e-06      833.18294          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  182001     1005  1.3786868e-06  7.5429508e-06      840.47342          0.011 
  182501     1005  1.4333437e-06  7.8523271e-06       833.1929          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  182501     1005  1.4333437e-06  7.8523271e-06      840.47342          0.011 
  183000     1005  1.4823526e-06  8.1211034e-06      833.21703          0.011 
  183001     1005  1.4824443e-06  8.1215994e-06      833.20249          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  183001     1005  1.4824443e-06  8.1215994e-06      840.47342          0.011 
  183501     1005  1.5239669e-06  8.3464408e-06      833.21172          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  183501     1005  1.5239669e-06  8.3464408e-06      840.47342          0.011 
  184000     1005  1.5552055e-06  8.5223801e-06      833.23509          0.011 
  184001     1005  1.5552569e-06   8.522683e-06      833.22058          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  184001     1005  1.5552569e-06   8.522683e-06      840.47342          0.011 
  184501     1005  1.5762673e-06   8.648734e-06      833.22909          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  184501     1005  1.5762673e-06   8.648734e-06      840.47342          0.011 
  185000     1005  1.5889947e-06   8.723889e-06      833.25172          0.011 
  185001     1005   1.589012e-06  8.7239889e-06      833.23725          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  185001     1005   1.589012e-06  8.7239889e-06      840.47342          0.011 
  185501     1005  1.5931638e-06  8.7480339e-06      833.24506          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  185501     1005  1.5931638e-06  8.7480339e-06      840.47342          0.011 
  186000     1005  1.5875191e-06  8.7195362e-06      833.26705          0.011 
  186001     1005  1.5874972e-06   8.719426e-06      833.25261          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  186001     1005  1.5874972e-06   8.719426e-06      840.47342          0.011 
  186501     1005  1.5713113e-06  8.6381095e-06      833.25976          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  186501     1005  1.5713113e-06  8.6381095e-06      840.47342          0.011 
  187000     1005  1.5458197e-06   8.506081e-06      833.28098          0.011 
  187001     1005  1.5457603e-06  8.5057669e-06      833.26657          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  187001     1005  1.5457603e-06  8.5057669e-06      840.47342          0.011 
  187501     1005  1.5708672e-06  8.2824212e-06      833.27306          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  187501     1005  1.5708672e-06  8.2824212e-06      840.47342          0.011 
  188000     1005   1.614342e-06  7.9977725e-06      833.29362          0.011 
  188001     1005  1.6142195e-06  7.9972889e-06      833.27923          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  188001     1005  1.6142195e-06  7.9972889e-06      840.47342          0.011 
  188501     1005  1.4901072e-06  7.7698871e-06      833.28509          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  188501     1005  1.4901072e-06  7.7698871e-06      840.47342          0.011 
  189000     1005  1.4003766e-06  7.4754799e-06      833.30501          0.011 
  189001     1005  1.4003052e-06  7.4747693e-06      833.29065          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  189001     1005  1.4003052e-06  7.4747693e-06      840.47342          0.011 
  189501     1005  1.3792882e-06  7.0903253e-06       833.2959          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  189501     1005  1.3792882e-06  7.0903253e-06      840.47342          0.011 
  190000     1005  1.3062904e-06  6.7059819e-06      833.31521          0.011 
  190001     1005  1.3060775e-06  6.7052212e-06      833.30087          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  190001     1005  1.3060775e-06  6.7052212e-06      840.47342          0.011 
  190501     1005  1.1979657e-06  6.3111313e-06      833.30555          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  190501     1005  1.1979657e-06  6.3111313e-06      840.47342          0.011 
  191000     1005  1.1196026e-06   5.871015e-06      833.32428          0.011 
  191001     1005  1.1194663e-06  5.8700962e-06      833.30996          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  191001     1005  1.1194663e-06  5.8700962e-06      840.47342          0.011 
  191501     1005  1.0442419e-06  5.4068828e-06      833.31409          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  191501     1005  1.0442419e-06  5.4068828e-06      840.47342          0.011 
  192000     1005  9.4650832e-07  4.9464308e-06      833.33228          0.011 
  192001     1005  9.4630365e-07  4.9455046e-06      833.31797          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  192001     1005  9.4630365e-07  4.9455046e-06      840.47342          0.011 
  192501     1005  8.4945367e-07  4.4760655e-06      833.32159          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  192501     1005  8.4945367e-07  4.4760655e-06      840.47342          0.011 
  193000     1005  7.6312999e-07  3.9991895e-06      833.33926          0.011 
  193001     1005  7.6295728e-07  3.9982365e-06      833.32497          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  193001     1005  7.6295728e-07  3.9982365e-06      840.47342          0.011 
  193501     1005  6.7315324e-07  3.5279656e-06       833.3281          0.011 
